,expectedElevation,measuredElevation,elevationCalculatedAngle1,times_x,nasmyth2CalculatedAngle,times_y,position0,position1,position2,position3,position4,imageName,requestedExposureTime,additionalKeys,additionalValues,reportedPosition0,reportedPosition1,reportedPosition2,reportedPosition3,reportedPosition4,reportedPosition5,m1_tip,m1_tilt,m1_piston,m1_y_pos,m1_x_pos,xcentroid,ycentroid
2021-07-08 06:46:18.489000+00:00,64.11163304011859,64.16591804750088,64.2486918552604,1625726741.4727185,-2.1216961644531693,1625726741.4797158,-1.079,0.467,-21.686,0.096,8.689,AT_O_20210707_000447,5.0,groupId:imageType,2021-07-08T06\:46\:05.739:OBJECT,-3.95402355998,2.22011050796,-1.20665014313,0.350000510465,0.220000538886,3.21149195637e-07,-3.138627036898362,-0.9009756767096379,0.0026681226830802944,0.05416442641567138,0.06893654271085457,2218.841553003615,2028.4280509802147
2021-07-08 06:54:41.152000+00:00,72.50743006436956,72.56271660485751,72.65620833475259,1625727244.0798614,-5.203729783737799,1625727244.1518686,-1.127,0.44,-21.684,0.098,8.69,AT_O_20210707_000456,5.0,groupId:imageType,2021-07-08T06\:54\:28.390:OBJECT,-3.77878443498,2.29742217525,-1.218947288,0.350000228167,0.21999899279,-2.7930757796e-08,-2.872806751230448,-0.7772628436001024,0.004334589424354134,0.006893654271085353,0.04234673337952493,2405.037750544747,1895.623104404327
2021-07-08 06:59:35.641000+00:00,80.81581398251605,80.87578656580506,80.968520252296,1625727538.582123,-4.87571126743569,1625727538.638133,-1.203,0.422,-21.683,0.1,8.694,AT_O_20210707_000461,5.0,groupId:imageType,2021-07-08T06\:59\:22.885:OBJECT,-3.72136469513,2.22971332055,-1.23989212583,0.350000345079,0.21999873239,-2.0309772617e-06,-3.4300555183242447,-1.3164776701227505,0.006668794152619659,-0.06795173495784253,0.024620193825305167,2178.3532626555025,1987.4146027140612
2021-07-08 07:14:47.162000+00:00,28.658966212183753,28.67173022942475,28.67276778660016,1625728450.08903,1.5917075522156665,1625728450.1590304,-1.036,0.514,-21.633,0.476,9.028,AT_O_20210707_000472,5.0,groupId:imageType,2021-07-08T07\:14\:34.386:OBJECT,-2.51969683478,2.43050237137,-1.43249348131,0.349997430929,0.219999695851,-2.67408741348e-07,-0.6138753409788625,-91.24379898994057,0.2601474540113314,0.09651115979519626,0.11522250710242833,1722.5319922034685,2164.6864406498657
2021-07-08 07:17:26.446000+00:00,28.66322798792206,28.676149366727305,28.674826829053927,1625728609.39271,0.9388916291209171,1625728609.4437082,-1.036,0.514,-21.633,0.476,9.029,AT_O_20210707_000475,5.0,groupId:imageType,2021-07-08T07\:17\:13.685:OBJECT,-2.49541006816,2.37714464275,-1.42682820354,0.350001360344,0.219999760064,1.92384874159e-06,-0.8796956266994564,-91.36751179881087,0.2604809872700568,0.09651115979519626,0.11522250710242833,1652.291355824461,2210.738912329553
2021-07-08 07:19:48.948000+00:00,28.66722888671585,28.679891407508553,28.678953854658175,1625728751.8953197,0.35765671207627747,1625728751.947323,-1.036,0.515,-21.633,0.477,9.029,AT_O_20210707_000478,5.0,groupId:imageType,2021-07-08T07\:19\:36.200:OBJECT,-2.50218005789,2.36123458045,-1.42886907173,0.34999913113,0.219998465892,-1.7987645596e-06,-0.6394835367537927,-91.53558809297256,0.26081459222214465,0.09651115979519626,0.11620731485544054,1627.0023083995793,2231.768547271202
2021-07-08 07:22:27.598000+00:00,28.67188815332095,28.684249118008513,28.683296351053286,1625728910.5960019,-0.2899510316492524,1625728910.589009,-1.036,0.515,-21.633,0.477,9.029,AT_O_20210707_000481,5.0,groupId:imageType,2021-07-08T07\:22\:14.850:OBJECT,-2.5112724351,2.39781596139,-1.43564323235,0.349998764336,0.219998564674,8.00851374427e-07,-0.6394835367537927,-91.53558809297256,0.26081459222214465,0.09651115979519626,0.11620731485544054,1649.2771401803227,2230.684256291392
2021-07-08 07:25:19.287000+00:00,28.67715415302024,28.689728474059844,28.688209263898898,1625729082.1967397,-0.9910871736647096,1625729082.2807503,-1.036,0.515,-21.633,0.477,9.03,AT_O_20210707_000484,5.0,groupId:imageType,2021-07-08T07\:25\:06.533:OBJECT,-2.48415235646,2.38932511961,-1.43052410852,0.34999976214,0.219999971793,1.44754002187e-06,-0.9053038224741721,-91.65930090168766,0.2611481254808701,0.09651115979519626,0.11620731485544054,1627.769219391353,2263.5555982295314
2021-07-08 07:27:56.912000+00:00,28.68220001713415,28.694213372801173,28.69348338089185,1625729239.897425,-1.6337366305233445,1625729239.9114301,-1.036,0.515,-21.633,0.478,9.03,AT_O_20210707_000487,5.0,groupId:imageType,2021-07-08T07\:27\:44.151:OBJECT,-2.51191067705,2.42088903401,-1.4297366422,0.350000158152,0.220001117162,-6.27618590469e-08,-0.6650917325287604,-91.82737719563818,0.26148173043295797,0.09651115979519626,0.11620731485544054,1640.4353009566744,2269.238284088532
2021-07-08 07:30:28.786000+00:00,28.68727756741839,28.69993412382663,28.69786521635251,1625729391.6990893,-2.2539583496691193,1625729391.7830918,-1.036,0.515,-21.633,0.478,9.03,AT_O_20210707_000490,5.0,groupId:imageType,2021-07-08T07\:30\:16.034:OBJECT,-2.45740007595,2.35401552354,-1.4246953197,0.349998387336,0.220001261633,1.01531419669e-06,-0.6650917325287604,-91.82737719563818,0.26148173043295797,0.09651115979519626,0.11620731485544054,1576.8801308701738,2311.2356183376546
